retrieved csv successfully!
Size of the data list: 125748
max_out_degree: 499
max_in_degree: 499
key: 19864, value_count: 1
key: 109882, value_count: 1
key: 74253, value_count: 1
key: 67757, value_count: 1
key: 85553, value_count: 1
key: 104979, value_count: 1
key: 124019, value_count: 1
key: 123381, value_count: 1
key: 2561, value_count: 1
key: 15279, value_count: 1
key: 10552, value_count: 1
key: 33439, value_count: 1
key: 32979, value_count: 1
key: 21603, value_count: 1
key: 67173, value_count: 1
key: 18571, value_count: 1
key: 43506, value_count: 1
key: 61105, value_count: 1
key: 106950, value_count: 1
key: 42566, value_count: 1
key: 14612, value_count: 1
key: 41496, value_count: 1
key: 61950, value_count: 1
key: 52696, value_count: 1
key: 86177, value_count: 1
key: 9167, value_count: 1
key: 119967, value_count: 1
key: 22715, value_count: 1
key: 115574, value_count: 1
key: 44121, value_count: 1
key: 96997, value_count: 1
key: 79767, value_count: 1
key: 21791, value_count: 1
key: 108164, value_count: 1
key: 38183, value_count: 1
key: 115981, value_count: 1
key: 52968, value_count: 1
key: 9090, value_count: 1
key: 72050, value_count: 1
key: 98343, value_count: 1
key: 110015, value_count: 1
key: 115207, value_count: 1
key: 23481, value_count: 1
key: 40065, value_count: 1
key: 47143, value_count: 1
key: 54667, value_count: 1
key: 109417, value_count: 1
key: 119601, value_count: 1
key: 115719, value_count: 1
key: 96255, value_count: 1
key: 45989, value_count: 1
key: 119022, value_count: 1
key: 24188, value_count: 1
key: 52665, value_count: 1
key: 71977, value_count: 1
key: 120423, value_count: 1
key: 7620, value_count: 1
key: 34298, value_count: 1
key: 45249, value_count: 1
key: 118008, value_count: 1
key: 95369, value_count: 1
key: 3041, value_count: 1
key: 88451, value_count: 1
key: 108806, value_count: 1
key: 34614, value_count: 1
key: 88100, value_count: 1
key: 83615, value_count: 1
key: 48235, value_count: 1
key: 770, value_count: 1
key: 114648, value_count: 1
key: 75826, value_count: 1
key: 99337, value_count: 1
key: 56525, value_count: 1
key: 100399, value_count: 1
key: 4366, value_count: 1
key: 4744, value_count: 1
